analysis_scope	selection_rule	endpoint	model_type	effect_measure	term	n_samples	n_participants	n_ibd	n_control	n_uc	n_cd	n_sites	n_model	effect	ci_lower	ci_upper	pvalue	status	model_formula
colorectal_sites	first_expression_order_within_colorectal_sites	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	847	847	847	0	370	477	5	847	0.14682540580551762	0.08025538157161755	0.21209147635239947	1.7862612495366796e-05	modeled	spearman(axis_score, ibd_endoseverity_num)
colorectal_sites	first_expression_order_within_colorectal_sites	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	515	515	515	0	176	339	5	515	0.40434361848588196	0.3294490396038498	0.47418165328071515	1.1195719710862345e-21	modeled	spearman(axis_score, nancyindex)
colorectal_sites	first_expression_order_within_colorectal_sites	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	515	515	515	0	176	339	5	515	0.45479782705647465	0.3834619997379433	0.520739127454913	1.1791590139458562e-27	modeled	spearman(axis_score, ghas_sum7)
colorectal_sites	first_expression_order_within_colorectal_sites	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	370	370	370	0	370	0	5	370	0.27117116518983164	0.17402689062422563	0.36308837402802524	1.170612869396722e-07	modeled	spearman(axis_score, ibdmesuc_mayo_score)
colorectal_sites	first_expression_order_within_colorectal_sites	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	477	477	477	0	0	477	5	477	0.06683766055684656	-0.023084224353573553	0.15568675696151854	0.1449627444718093	modeled	spearman(axis_score, ibdsescd_totalsescd)
ileal_site	first_expression_order_within_ileum	IBD versus control	unadjusted_logistic	odds_ratio_per_1sd	axis_score_z	666	666	545	121	188	357	1	666	1.4930961702344059	1.2034960496529583	1.8523834575206988	0.00026876479355737926	modeled	ibd_vs_control ~ axis_score_z
ileal_site	first_expression_order_within_ileum	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	666	666	545	121	188	357	1	666	1.4812093571717557	1.188723752189575	1.8456610762020629	0.000464750187669234	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
ileal_site	first_expression_order_within_ileum	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	543	543	543	0	186	357	1	543	0.08885691421570517	0.004746880166007195	0.17171851607226438	0.03846170120707674	modeled	spearman(axis_score, ibd_endoseverity_num)
ileal_site	first_expression_order_within_ileum	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	380	380	380	0	118	262	1	380	0.32830654889045	0.23548054447303685	0.4151967362875814	5.32541427722428e-11	modeled	spearman(axis_score, nancyindex)
ileal_site	first_expression_order_within_ileum	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	380	380	380	0	118	262	1	380	0.3475819085332005	0.25592753175063676	0.433042912932436	3.1277812952620433e-12	modeled	spearman(axis_score, ghas_sum7)
ileal_site	first_expression_order_within_ileum	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	186	186	186	0	186	0	1	186	-0.045989373882822406	-0.188623214661914	0.09854466873892564	0.5330787667715147	modeled	spearman(axis_score, ibdmesuc_mayo_score)
ileal_site	first_expression_order_within_ileum	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	357	357	357	0	0	357	1	357	0.10330351626406495	-0.000499465539328274	0.20490402630945664	0.05114779018273965	modeled	spearman(axis_score, ibdsescd_totalsescd)
uc_or_control	first_expression_order_within_uc_or_control	IBD versus control	unadjusted_logistic	odds_ratio_per_1sd	axis_score_z	664	664	421	243	421	0	7	664	1.3506277955023345	1.1451499215186258	1.5929752146027856	0.00035752483054694303	modeled	ibd_vs_control ~ axis_score_z
uc_or_control	first_expression_order_within_uc_or_control	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	664	664	421	243	421	0	7	664	1.3149918208308267	1.0831300151441345	1.5964874619616778	0.005660358221868626	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
uc_or_control	first_expression_order_within_uc_or_control	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	418	418	418	0	418	0	7	418	0.1092230452054677	0.013447085999178066	0.20301304904637124	0.025544461183409646	modeled	spearman(axis_score, ibd_endoseverity_num)
uc_or_control	first_expression_order_within_uc_or_control	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	185	185	185	0	185	0	7	185	0.32073889084063356	0.18502962453980182	0.44444416705153916	8.54239766188201e-06	modeled	spearman(axis_score, nancyindex)
uc_or_control	first_expression_order_within_uc_or_control	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	185	185	185	0	185	0	7	185	0.31014161902051063	0.17363983381036344	0.43495115763017494	1.737450914525913e-05	modeled	spearman(axis_score, ghas_sum7)
uc_or_control	first_expression_order_within_uc_or_control	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	418	418	418	0	418	0	7	418	0.1092230452054677	0.013447085999178066	0.20301304904637124	0.025544461183409646	modeled	spearman(axis_score, ibdmesuc_mayo_score)
uc_or_control	first_expression_order_within_uc_or_control	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	0	0	0	0	0	0	0	0					not_modeled_low_n	spearman(axis_score, ibdsescd_totalsescd)
cd_or_control	first_expression_order_within_cd_or_control	IBD versus control	unadjusted_logistic	odds_ratio_per_1sd	axis_score_z	741	741	498	243	0	498	7	741	2.0869718082739976	1.7283098934361925	2.520063875738752	2.0591406630355058e-14	modeled	ibd_vs_control ~ axis_score_z
cd_or_control	first_expression_order_within_cd_or_control	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	741	741	498	243	0	498	7	741	1.964510200444129	1.576345543961483	2.448257834351661	1.8320787588901188e-09	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
cd_or_control	first_expression_order_within_cd_or_control	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	498	498	498	0	0	498	7	498	0.10374340966300939	0.016021198285454875	0.1898807602954031	0.02058217807770822	modeled	spearman(axis_score, ibd_endoseverity_num)
cd_or_control	first_expression_order_within_cd_or_control	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	358	358	358	0	0	358	7	358	0.3209098679875	0.22473279077789982	0.4108946305861696	5.105536635550385e-10	modeled	spearman(axis_score, nancyindex)
cd_or_control	first_expression_order_within_cd_or_control	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	358	358	358	0	0	358	7	358	0.3378014536033831	0.24264502821920875	0.4265197049081937	5.271216442462044e-11	modeled	spearman(axis_score, ghas_sum7)
cd_or_control	first_expression_order_within_cd_or_control	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	0	0	0	0	0	0	0	0					not_modeled_low_n	spearman(axis_score, ibdmesuc_mayo_score)
cd_or_control	first_expression_order_within_cd_or_control	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	498	498	498	0	0	498	7	498	0.08300682335939387	-0.004897151478884207	0.16963779876438137	0.0641820103523208	modeled	spearman(axis_score, ibdsescd_totalsescd)
