dataset_id	endpoint	role	variant	n	covariates	model_formula	effect	ci_lower	ci_upper	pvalue	aic	mcfadden_r2	status
GSE206285	week8_clinical_remission	adult_remission	axis_without_regulatory	550	C(treatment_family)	week8_clinical_remission ~ axis_without_regulatory_z + C(treatment_family)	0.650168	0.506839	0.834029	0.000703298	381.791	0.0401404	ok
GSE206285	week8_clinical_remission	adult_remission	axis_without_junctional	550	C(treatment_family)	week8_clinical_remission ~ axis_without_junctional_z + C(treatment_family)	0.562839	0.422746	0.749357	8.2921e-05	376.482	0.0536996	ok
GSE206285	week8_clinical_remission	adult_remission	axis_without_cldn2	550	C(treatment_family)	week8_clinical_remission ~ axis_without_cldn2_z + C(treatment_family)	0.672949	0.51373	0.881513	0.00403323	384.553	0.0330851	ok
GSE206285	week8_clinical_remission	adult_remission	cldn2_only	550	C(treatment_family)	week8_clinical_remission ~ cldn2_only_z + C(treatment_family)	0.850618	0.654784	1.10502	0.225544	391.501	0.0153379	ok
GSE23597	week8_response	adult_response	original_axis	45	C(dose)	week8_response ~ original_axis_z + C(dose)	0.443569	0.191601	1.02689	0.0576943	53.5404	0.205038	ok
GSE23597	week8_response	adult_response	mmp_only	45	C(dose)	week8_response ~ mmp_only_z + C(dose)	0.664136	0.330618	1.3341	0.250143	56.3559	0.15589	ok
GSE23597	week8_response	adult_response	regulatory_only	45	C(dose)	week8_response ~ regulatory_only_z + C(dose)	0.680082	0.333089	1.38855	0.289771	56.5347	0.152769	ok
GSE23597	week8_response	adult_response	junctional_only	45	C(dose)	week8_response ~ junctional_only_z + C(dose)	0.340584	0.118996	0.974802	0.0446931	52.7812	0.218291	ok
GSE23597	week8_response	adult_response	axis_without_mmp	45	C(dose)	week8_response ~ axis_without_mmp_z + C(dose)	0.376601	0.143868	0.985818	0.0466951	52.8184	0.217641	ok
GSE23597	week8_response	adult_response	axis_without_regulatory	45	C(dose)	week8_response ~ axis_without_regulatory_z + C(dose)	0.517083	0.240007	1.11403	0.0921402	54.6603	0.185489	ok
GSE23597	week8_response	adult_response	axis_without_junctional	45	C(dose)	week8_response ~ axis_without_junctional_z + C(dose)	0.5522	0.257165	1.18572	0.127742	55.174	0.176522	ok
GSE23597	week8_response	adult_response	axis_without_cldn2	45	C(dose)	week8_response ~ axis_without_cldn2_z + C(dose)	0.387807	0.153922	0.977085	0.0445231	52.7216	0.219331	ok
GSE23597	week8_response	adult_response	cldn2_only	45	C(dose)	week8_response ~ cldn2_only_z + C(dose)	0.877875	0.445026	1.73173	0.707089	57.5582	0.134902	ok
GSE23597	week30_response	adult_response	original_axis	45	C(dose)	week30_response ~ original_axis_z + C(dose)	0.57666	0.294333	1.1298	0.108646	66.2124	0.0665254	ok
GSE23597	week30_response	adult_response	mmp_only	45	C(dose)	week30_response ~ mmp_only_z + C(dose)	0.817437	0.446712	1.49583	0.513212	68.6542	0.0273706	ok
GSE23597	week30_response	adult_response	regulatory_only	45	C(dose)	week30_response ~ regulatory_only_z + C(dose)	0.690657	0.368512	1.29441	0.248174	67.7042	0.0426035	ok
GSE23597	week30_response	adult_response	junctional_only	45	C(dose)	week30_response ~ junctional_only_z + C(dose)	0.480245	0.217571	1.06005	0.0694296	65.0746	0.0847714	ok
GSE23597	week30_response	adult_response	axis_without_mmp	45	C(dose)	week30_response ~ axis_without_mmp_z + C(dose)	0.494252	0.240351	1.01637	0.0553869	64.7438	0.0900755	ok
GSE23597	week30_response	adult_response	axis_without_regulatory	45	C(dose)	week30_response ~ axis_without_regulatory_z + C(dose)	0.64405	0.338286	1.22618	0.180479	67.1833	0.0509572	ok
GSE23597	week30_response	adult_response	axis_without_junctional	45	C(dose)	week30_response ~ axis_without_junctional_z + C(dose)	0.683775	0.362933	1.28825	0.239504	67.6318	0.0437647	ok
GSE23597	week30_response	adult_response	axis_without_cldn2	45	C(dose)	week30_response ~ axis_without_cldn2_z + C(dose)	0.544108	0.27124	1.09148	0.0866177	65.7173	0.0744646	ok
GSE23597	week30_response	adult_response	cldn2_only	45	C(dose)	week30_response ~ cldn2_only_z + C(dose)	0.862527	0.467546	1.59119	0.635972	68.8591	0.024085	ok
GSE16879	infliximab_response	adult_or_mixed_response	original_axis	61	C(disease)	infliximab_response ~ original_axis_z + C(disease)	0.166984	0.0663246	0.420411	0.000145086	62.5243	0.32832	ok
GSE16879	infliximab_response	adult_or_mixed_response	mmp_only	61	C(disease)	infliximab_response ~ mmp_only_z + C(disease)	0.129356	0.0423588	0.395028	0.000329937	60.9135	0.347462	ok
GSE16879	infliximab_response	adult_or_mixed_response	regulatory_only	61	C(disease)	infliximab_response ~ regulatory_only_z + C(disease)	0.347252	0.172921	0.697334	0.00294563	75.8545	0.169917	ok
GSE16879	infliximab_response	adult_or_mixed_response	junctional_only	61	C(disease)	infliximab_response ~ junctional_only_z + C(disease)	0.598201	0.340644	1.05049	0.0736947	84.1047	0.0718802	ok
GSE16879	infliximab_response	adult_or_mixed_response	axis_without_mmp	61	C(disease)	infliximab_response ~ axis_without_mmp_z + C(disease)	0.367933	0.185026	0.731649	0.00436023	76.9988	0.156319	ok
GSE16879	infliximab_response	adult_or_mixed_response	axis_without_regulatory	61	C(disease)	infliximab_response ~ axis_without_regulatory_z + C(disease)	0.199624	0.083311	0.478326	0.000301494	65.9241	0.287921	ok
GSE16879	infliximab_response	adult_or_mixed_response	axis_without_junctional	61	C(disease)	infliximab_response ~ axis_without_junctional_z + C(disease)	0.145946	0.053924	0.395002	0.000151592	60.4299	0.353208	ok
GSE16879	infliximab_response	adult_or_mixed_response	axis_without_cldn2	61	C(disease)	infliximab_response ~ axis_without_cldn2_z + C(disease)	0.163097	0.0623264	0.426794	0.000220076	63.305	0.319044	ok
GSE16879	infliximab_response	adult_or_mixed_response	cldn2_only	61	C(disease)	infliximab_response ~ cldn2_only_z + C(disease)	0.906573	0.53741	1.52932	0.713145	87.4658	0.0319397	ok
GSE109142	week4_remission	pediatric_remission	original_axis	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ original_axis_z + total_mayo_score_num_z + C(initial_treatment)	0.800751	0.587478	1.09145	0.159667	282.399	0.0458859	ok
GSE109142	week4_remission	pediatric_remission	mmp_only	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ mmp_only_z + total_mayo_score_num_z + C(initial_treatment)	0.790714	0.550876	1.13497	0.202879	282.629	0.0450794	ok
GSE109142	week4_remission	pediatric_remission	regulatory_only	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ regulatory_only_z + total_mayo_score_num_z + C(initial_treatment)	0.875174	0.65667	1.16638	0.362937	283.591	0.0417098	ok
GSE109142	week4_remission	pediatric_remission	junctional_only	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ junctional_only_z + total_mayo_score_num_z + C(initial_treatment)	0.884802	0.659966	1.18624	0.413232	283.756	0.0411309	ok
GSE109142	week4_remission	pediatric_remission	axis_without_mmp	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ axis_without_mmp_z + total_mayo_score_num_z + C(initial_treatment)	0.869203	0.651103	1.16036	0.341617	283.517	0.0419692	ok
GSE109142	week4_remission	pediatric_remission	axis_without_regulatory	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ axis_without_regulatory_z + total_mayo_score_num_z + C(initial_treatment)	0.789928	0.564584	1.10521	0.168772	282.438	0.0457467	ok
GSE109142	week4_remission	pediatric_remission	axis_without_junctional	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ axis_without_junctional_z + total_mayo_score_num_z + C(initial_treatment)	0.773003	0.558816	1.06929	0.119877	281.861	0.0477686	ok
GSE109142	week4_remission	pediatric_remission	axis_without_cldn2	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ axis_without_cldn2_z + total_mayo_score_num_z + C(initial_treatment)	0.840086	0.622234	1.13421	0.255243	283.109	0.0433983	ok
GSE109142	week4_remission	pediatric_remission	cldn2_only	206	total_mayo_score_num_z;C(initial_treatment)	week4_remission ~ cldn2_only_z + total_mayo_score_num_z + C(initial_treatment)	0.86164	0.635094	1.169	0.338686	283.501	0.0420244	ok
