dataset_id	age_stratum	endpoint_family	endpoint_name	tissue_site	treatment_context	clinical_role	effect	ci_lower	ci_upper	pvalue	fdr	n	interpretation_boundary
GSE206285	adult	mucosal_healing	week8_mucosal_healing	sigmoid colon biopsy	UNIFI baseline biopsy	adult_direct_endpoint_expansion	0.562673	0.447033	0.708227	9.63314e-07	6.7432e-06	542	retrospective_baseline_expression_association; GSE206285_week8_mucosal_healing; not prospective clinical utility
GSE206285	adult	mucosal_healing	week8_mucosal_healing	sigmoid colon biopsy	UNIFI baseline biopsy	adult_direct_endpoint_expansion	0.573427	0.45434	0.723729	2.83617e-06	1.58826e-05	542	retrospective_baseline_expression_association; GSE206285_week8_mucosal_healing; not prospective clinical utility
GSE206285	adult	clinical_remission	week8_clinical_remission	sigmoid colon biopsy	UNIFI baseline biopsy	adult_direct_endpoint_expansion	0.665193	0.5182	0.853882	0.00137537	0.00350094	550	retrospective_baseline_expression_association; GSE206285_week8_clinical_remission; not prospective clinical utility
GSE206285	adult	clinical_remission	week8_clinical_remission	sigmoid colon biopsy	UNIFI baseline biopsy	adult_direct_endpoint_expansion	0.654337	0.506201	0.845822	0.00120154	0.00336431	550	retrospective_baseline_expression_association; GSE206285_week8_clinical_remission; not prospective clinical utility
GSE23597	adult	treatment_response_or_remission	week8_response	colonic mucosal biopsy	ACT1 baseline biopsy	adult_direct_endpoint_validation	0.554221	0.275726	1.11401	0.0975451	0.136563	45	retrospective_baseline_expression_association; GSE23597_week8_response; not prospective clinical utility
GSE23597	adult	treatment_response_or_remission	week8_response	colonic mucosal biopsy	ACT1 baseline biopsy	adult_direct_endpoint_validation	0.443568	0.191601	1.02689	0.0576942	0.0938033	45	retrospective_baseline_expression_association; GSE23597_week8_response; not prospective clinical utility
GSE23597	adult	treatment_response_or_remission	week30_response	colonic mucosal biopsy	ACT1 baseline biopsy	adult_direct_endpoint_validation	0.604487	0.315558	1.15796	0.129077	0.16428	45	retrospective_baseline_expression_association; GSE23597_week30_response; not prospective clinical utility
GSE23597	adult	treatment_response_or_remission	week30_response	colonic mucosal biopsy	ACT1 baseline biopsy	adult_direct_endpoint_validation	0.57666	0.294333	1.1298	0.108646	0.144861	45	retrospective_baseline_expression_association; GSE23597_week30_response; not prospective clinical utility
GSE16879	adult	treatment_response_or_remission	infliximab_response	mucosal biopsy	pretreatment first-infliximab biopsy	adult_direct_endpoint_validation	0.193463	0.083291	0.449364	0.000133273	0.000507801	61	retrospective_baseline_expression_association; GSE16879_infliximab_response; not prospective clinical utility
GSE16879	adult	treatment_response_or_remission	infliximab_response	mucosal biopsy	pretreatment first-infliximab biopsy	adult_direct_endpoint_validation	0.166984	0.0663246	0.420411	0.000145086	0.000507801	61	retrospective_baseline_expression_association; GSE16879_infliximab_response; not prospective clinical utility
