sample_id	dataset_id	axis_score	upstream_score	mmp_score	junction_score	scoring_method	qc_flags
CCFA_Risk_076	GSE57945	0.237309	0.691876	-0.416124	0.436174	signed_within_dataset_zscore_mean	ok
CCFA_Risk_077	GSE57945	0.365837	1.81515	-0.87235	0.154711	signed_within_dataset_zscore_mean	ok
CCFA_Risk_078	GSE57945	-0.489513	0.433081	-0.915619	-0.986	signed_within_dataset_zscore_mean	ok
CCFA_Risk_079	GSE57945	-0.502194	0.111701	-1.03122	-0.587061	signed_within_dataset_zscore_mean	ok
CCFA_Risk_080	GSE57945	-0.609151	-0.820654	-0.825044	-0.181755	signed_within_dataset_zscore_mean	ok
CCFA_Risk_081	GSE57945	-0.711653	-0.66333	-0.658858	-0.812772	signed_within_dataset_zscore_mean	ok
CCFA_Risk_082	GSE57945	-0.822281	-0.127434	-1.02961	-1.3098	signed_within_dataset_zscore_mean	ok
CCFA_Risk_083	GSE57945	-0.490012	-0.252858	-0.828674	-0.388504	signed_within_dataset_zscore_mean	ok
CCFA_Risk_084	GSE57945	-0.634187	-0.424791	-0.592415	-0.885356	signed_within_dataset_zscore_mean	ok
CCFA_Risk_085	GSE57945	-0.581954	-0.0793308	-0.918217	-0.748315	signed_within_dataset_zscore_mean	ok
CCFA_Risk_086	GSE57945	-0.614202	-0.589311	-0.778986	-0.474309	signed_within_dataset_zscore_mean	ok
CCFA_Risk_087	GSE57945	-0.404569	-0.375415	-0.544382	-0.29391	signed_within_dataset_zscore_mean	ok
CCFA_Risk_088	GSE57945	-0.268589	-0.555147	0.06314	-0.31376	signed_within_dataset_zscore_mean	ok
CCFA_Risk_089	GSE57945	-0.771338	-0.0850887	-1.06284	-1.16608	signed_within_dataset_zscore_mean	ok
CCFA_Risk_090	GSE57945	-0.590176	-0.491347	-0.580956	-0.698224	signed_within_dataset_zscore_mean	ok
CCFA_Risk_091	GSE57945	-0.53542	-0.0670921	-0.874588	-0.66458	signed_within_dataset_zscore_mean	ok
CCFA_Risk_092	GSE57945	0.202004	0.29092	-0.177897	0.492988	signed_within_dataset_zscore_mean	ok
CCFA_Risk_093	GSE57945	-0.111713	-0.578525	0.227073	0.0163134	signed_within_dataset_zscore_mean	ok
CCFA_Risk_094	GSE57945	-0.633235	-0.105673	-0.991989	-0.802044	signed_within_dataset_zscore_mean	ok
CCFA_Risk_095	GSE57945	-0.385954	-0.727061	-0.203173	-0.227627	signed_within_dataset_zscore_mean	ok
CCFA_Risk_096	GSE57945	0.0354066	0.0216622	-0.147242	0.2318	signed_within_dataset_zscore_mean	ok
CCFA_Risk_097	GSE57945	0.448917	0.81215	-0.310816	0.845418	signed_within_dataset_zscore_mean	ok
CCFA_Risk_098	GSE57945	1.61327	0.412753	2.59191	1.83513	signed_within_dataset_zscore_mean	ok
CCFA_Risk_099	GSE57945	0.178651	-0.0945391	0.794788	-0.164298	signed_within_dataset_zscore_mean	ok
